Species,Area,Year,Catch
"Anchovies, etc. NEI","Indian Ocean, Western",2014,56845
"Anchovies, etc. NEI","Indian Ocean, Western",2015,34305
"Anchovies, etc. NEI","Indian Ocean, Western",2016,33013
"Anchovies, etc. NEI","Indian Ocean, Western",2017,33216
"Anchovies, etc. NEI","Indian Ocean, Western",2018,41730.61
"Anchovies, etc. NEI","Indian Ocean, Western",2019,37008.26
"Anchovies, etc. NEI","Indian Ocean, Western",2020,35361.81
"Anchovies, etc. NEI","Indian Ocean, Western",2021,32631.49
"Anchovies, etc. NEI","Indian Ocean, Western",2022,28350.62
"Anchovies, etc. NEI","Indian Ocean, Western",2023,32597.89
Ascidiaceans NEI,"Indian Ocean, Eastern",2014,86700
Ascidiaceans NEI,"Indian Ocean, Eastern",2015,48600
Ascidiaceans NEI,"Indian Ocean, Eastern",2016,46850
Ascidiaceans NEI,"Indian Ocean, Eastern",2017,47138
Ascidiaceans NEI,"Indian Ocean, Eastern",2018,59221.39
Ascidiaceans NEI,"Indian Ocean, Eastern",2019,52519.74
Ascidiaceans NEI,"Indian Ocean, Eastern",2020,50183.19
Ascidiaceans NEI,"Indian Ocean, Eastern",2021,46308.51
Ascidiaceans NEI,"Indian Ocean, Eastern",2022,40233.38
Ascidiaceans NEI,"Indian Ocean, Eastern",2023,46500.1
Ascidiaceans NEI,"Indian Ocean, Western",2014,6
Ascidiaceans NEI,"Indian Ocean, Western",2015,6
Ascidiaceans NEI,"Indian Ocean, Western",2016,6
Ascidiaceans NEI,"Indian Ocean, Western",2017,0
Ascidiaceans NEI,"Indian Ocean, Western",2018,0
Ascidiaceans NEI,"Indian Ocean, Western",2019,0
Ascidiaceans NEI,"Indian Ocean, Western",2020,0
Ascidiaceans NEI,"Indian Ocean, Western",2021,0
Ascidiaceans NEI,"Indian Ocean, Western",2022,0
Ascidiaceans NEI,"Indian Ocean, Western",2023,0
Barracudas NEI,"Indian Ocean, Western",2014,12350
Barracudas NEI,"Indian Ocean, Western",2015,19000
Barracudas NEI,"Indian Ocean, Western",2016,23900
Barracudas NEI,"Indian Ocean, Western",2017,21069
Barracudas NEI,"Indian Ocean, Western",2018,29305.86
Barracudas NEI,"Indian Ocean, Western",2019,21494.34
Barracudas NEI,"Indian Ocean, Western",2020,23778.39
Barracudas NEI,"Indian Ocean, Western",2021,23857.39
Barracudas NEI,"Indian Ocean, Western",2022,27371.31
Barracudas NEI,"Indian Ocean, Western",2023,29495.94
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2014,7259
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2015,11065
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2016,13917
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2017,12268
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2018,17064.14
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2019,12515.66
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2020,13845.61
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2021,13891.61
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2022,15937.69
Barramundi(=Giant seaperch),"Indian Ocean, Eastern",2023,18402.12
Bigeye tuna,"Indian Ocean, Western",2014,0
Bigeye tuna,"Indian Ocean, Western",2015,1.46
Bigeye tuna,"Indian Ocean, Western",2016,14.58
Bigeye tuna,"Indian Ocean, Western",2017,0
Bigeye tuna,"Indian Ocean, Western",2018,236.69
Bigeye tuna,"Indian Ocean, Western",2019,9
Bigeye tuna,"Indian Ocean, Western",2020,14.1
Bigeye tuna,"Indian Ocean, Western",2021,75.7
Bigeye tuna,"Indian Ocean, Western",2022,53.26
Bigeye tuna,"Indian Ocean, Western",2023,16
Bigeyes NEI,"Indian Ocean, Eastern",2014,0
Bigeyes NEI,"Indian Ocean, Eastern",2015,1.75
Bigeyes NEI,"Indian Ocean, Eastern",2016,74.42
Bigeyes NEI,"Indian Ocean, Eastern",2017,0
Bigeyes NEI,"Indian Ocean, Eastern",2018,373.69
Bigeyes NEI,"Indian Ocean, Eastern",2019,1017
Bigeyes NEI,"Indian Ocean, Eastern",2020,1017
Bigeyes NEI,"Indian Ocean, Eastern",2021,684.53
Bigeyes NEI,"Indian Ocean, Eastern",2022,481.62
Bigeyes NEI,"Indian Ocean, Eastern",2023,553
Bigeyes NEI,"Indian Ocean, Western",2014,0
Bigeyes NEI,"Indian Ocean, Western",2015,0
Bigeyes NEI,"Indian Ocean, Western",2016,30940
Bigeyes NEI,"Indian Ocean, Western",2017,46682
Bigeyes NEI,"Indian Ocean, Western",2018,13807.61
Bigeyes NEI,"Indian Ocean, Western",2019,9179.59
Bigeyes NEI,"Indian Ocean, Western",2020,5231.72
Bigeyes NEI,"Indian Ocean, Western",2021,7363.98
Bigeyes NEI,"Indian Ocean, Western",2022,16218.88
Bigeyes NEI,"Indian Ocean, Western",2023,18951.97
Black marlin,"Indian Ocean, Eastern",2014,0
Black marlin,"Indian Ocean, Eastern",2015,0
Black marlin,"Indian Ocean, Eastern",2016,99800
Black marlin,"Indian Ocean, Eastern",2017,150576
Black marlin,"Indian Ocean, Eastern",2018,44537.39
Black marlin,"Indian Ocean, Eastern",2019,29609.41
Black marlin,"Indian Ocean, Eastern",2020,16875.28
Black marlin,"Indian Ocean, Eastern",2021,23753.02
Black marlin,"Indian Ocean, Eastern",2022,52315.12
Black marlin,"Indian Ocean, Eastern",2023,54165.68
Black marlin,"Indian Ocean, Western",2014,3223.38
Black marlin,"Indian Ocean, Western",2015,3161.11
Black marlin,"Indian Ocean, Western",2016,6832.16
Black marlin,"Indian Ocean, Western",2017,1062.62
Black marlin,"Indian Ocean, Western",2018,3404.31
Black marlin,"Indian Ocean, Western",2019,3627.57
Black marlin,"Indian Ocean, Western",2020,3336.4
Black marlin,"Indian Ocean, Western",2021,1221.95
Black marlin,"Indian Ocean, Western",2022,1254.68
Black marlin,"Indian Ocean, Western",2023,5103.67
Black pomfret,"Indian Ocean, Eastern",2014,379.03
